page	nom	annee	lieu	other	rec	domaine
108	WOLFF	1877	Hafna			mines-carrières-salnes
108	LAFORGUE	1878				mines-carrières-salnes
108	LEROY	1878	Lens			mines-carrières-salnes
108	MANDRAS	1878	Sérifos 			mines-carrières-salnes
108	MOUGIN	1878	Calais; Leulinos			mines-carrières-salnes
108	PIRCKHER	1878	Béthune			mines-carrières-salnes
108	AGREDA (DE)	1879	Colorado			mines-carrières-salnes
108	DEBENOIST	1879	Marseille			mines-carrières-salnes
108	DUTHU	1879	Ria			mines-carrières-salnes
108	GOUVY	1879	Resicza	Société austro-hongroise privilégiée des Chemins de fer de l'État		mines-carrières-salnes
108	RENÉVILLE	1879	La Mure			mines-carrières-salnes
108	FONTAINE	1880	Courrières			mines-carrières-salnes
108	MOURGUES	1880	Grenade			mines-carrières-salnes
108	AMAND	1881	Bleyberg			mines-carrières-salnes
14	GOSCHLER	1840	Constantinople	Chemin de fer de l'Est; de fer Hainaut et Flandres; Chemins de fer de Turquie		CONSTRUCTION -  TRAVAUX PUBLICS
14	MEUNIER	1840	AIX			CONSTRUCTION -  TRAVAUX PUBLICS
14	SCHMITT	1840	Deux-Sèvres			CONSTRUCTION -  TRAVAUX PUBLICS
14	TRÉLAT	1840	Seine	Conseil supérieur de l'Assistance publique et de l'Institut royal des architectes britanniques	Médaille d'argent; Médaille d'or	CONSTRUCTION -  TRAVAUX PUBLICS
14	COURAU	1841				CONSTRUCTION -  TRAVAUX PUBLICS
14	GIRARD	1841		distribution d'eau de Langres		CONSTRUCTION -  TRAVAUX PUBLICS
14	GONSSOLIN	1841				CONSTRUCTION -  TRAVAUX PUBLICS
14	GUIBAL	1841	Toulouse			CONSTRUCTION -  TRAVAUX PUBLICS
14	KRAFFT	1841				CONSTRUCTION -  TRAVAUX PUBLICS
14	MARTIN	1841	Bourg; Ain; Brou	Société académique d'architecture de Lyon		CONSTRUCTION -  TRAVAUX PUBLICS
14	VOLLAND	1841	Loir-et-Cher			CONSTRUCTION -  TRAVAUX PUBLICS
14	BARROUX	1842	Toulon	Chemins de fer de l'Est		CONSTRUCTION -  TRAVAUX PUBLICS
14	GIROUD	1842	Rhône			CONSTRUCTION -  TRAVAUX PUBLICS
14	GUILLOT DE SUDUIRAUT	1842	Espagne; Gironde			CONSTRUCTION -  TRAVAUX PUBLICS
14	MAUSS	1842				CONSTRUCTION -  TRAVAUX PUBLICS
14	MOUREAUX	1842				CONSTRUCTION -  TRAVAUX PUBLICS
14	BORDREAU	1843				CONSTRUCTION -  TRAVAUX PUBLICS
14	DURAND	1843	la Chapelle-Saint-Denis			CONSTRUCTION -  TRAVAUX PUBLICS
14	GRÜN	1843	Guebwiller; Altkirch			CONSTRUCTION -  TRAVAUX PUBLICS
14	MILHANT	1843	Puget-Théniers			CONSTRUCTION -  TRAVAUX PUBLICS
14	POTTIER	1843		Compagnie des Chemins de fer de l'Est 		CONSTRUCTION -  TRAVAUX PUBLICS
14	PURY (DE)	1843	Neufchâtel			CONSTRUCTION -  TRAVAUX PUBLICS
14	QUÉTIL	1843	Haïti	Texas - Pacific; Chemins de fer de la Nouvelle-Ecosse; 		CONSTRUCTION -  TRAVAUX PUBLICS
14	REIVEILLIEZ	1843				CONSTRUCTION -  TRAVAUX PUBLICS
14	TOUZIS	1843	Mauléon; Orthez; Basses-Pyrénées; Pau			CONSTRUCTION -  TRAVAUX PUBLICS
14	GISPERT (DE)	1844	Barcelone; Mayorque			CONSTRUCTION -  TRAVAUX PUBLICS
14	GUELLE	1844	Toulon			CONSTRUCTION -  TRAVAUX PUBLICS
14	HUBERT	1844	Mons		Médaille d'or; Médaille d'or	CONSTRUCTION -  TRAVAUX PUBLICS
14	LEMUHOT	1844	Chili			CONSTRUCTION -  TRAVAUX PUBLICS
14	MULLER	1844	Mulhouse; Ivry-sur-Seine;		Médaille de 1ere classe; médaille d'argent; médaille de bronze; Médaille d'or;  médaille d'argent; médaille de bronze	CONSTRUCTION -  TRAVAUX PUBLICS
14	PONCET	1844	Montmerle			CONSTRUCTION -  TRAVAUX PUBLICS
14	RICHE	1844		Canal maritime de Suez		CONSTRUCTION -  TRAVAUX PUBLICS
14	ZAWADSKI	1844				CONSTRUCTION -  TRAVAUX PUBLICS
